order_parada;estacion_id;ruta_id
1;15410;20T0001C1
2;15401;20T0001C1
3;15400;20T0001C1
4;15303;20T0001C1
5;15302;20T0001C1
6;15305;20T0001C1
7;15301;20T0001C1
8;15300;20T0001C1
9;15212;20T0001C1
10;15217;20T0001C1
11;15211;20T0001C1
12;15218;20T0001C1
13;15210;20T0001C1
14;15209;20T0001C1
15;15208;20T0001C1
16;15207;20T0001C1
17;15206;20T0001C1
18;15205;20T0001C1
19;15203;20T0001C1
20;15202;20T0001C1
21;15200;20T0001C1
22;15123;20T0001C1
23;15122;20T0001C1
24;15121;20T0001C1
25;15120;20T0001C1
26;15119;20T0001C1
27;15118;20T0001C1
1;15118;20T0002C1
2;15119;20T0002C1
3;15120;20T0002C1
4;15121;20T0002C1
5;15122;20T0002C1
6;15123;20T0002C1
7;15200;20T0002C1
8;15202;20T0002C1
9;15203;20T0002C1
10;15205;20T0002C1
11;15206;20T0002C1
12;15207;20T0002C1
13;15208;20T0002C1
14;15209;20T0002C1
15;15210;20T0002C1
16;15218;20T0002C1
17;15211;20T0002C1
18;15217;20T0002C1
19;15212;20T0002C1
20;15300;20T0002C1
21;15301;20T0002C1
22;15305;20T0002C1
23;15302;20T0002C1
24;15303;20T0002C1
25;15400;20T0002C1
26;15401;20T0002C1
27;15410;20T0002C1
1;15211;20T0003C2
2;15218;20T0003C2
3;15210;20T0003C2
4;15209;20T0003C2
5;15208;20T0003C2
6;16001;20T0003C2
7;16002;20T0003C2
8;16005;20T0003C2
9;16006;20T0003C2
10;16008;20T0003C2
11;16009;20T0003C2
12;16010;20T0003C2
13;16011;20T0003C2
1;16011;20T0004C2
2;16010;20T0004C2
3;16009;20T0004C2
4;16008;20T0004C2
5;16006;20T0004C2
6;16005;20T0004C2
7;16002;20T0004C2
8;16001;20T0004C2
9;15208;20T0004C2
10;15209;20T0004C2
11;15210;20T0004C2
12;15218;20T0004C2
13;15211;20T0004C2
1;15218;20T0005C3
2;15211;20T0005C3
3;15217;20T0005C3
4;15212;20T0005C3
5;15300;20T0005C3
6;15301;20T0005C3
7;16301;20T0005C3
8;16302;20T0005C3
9;16400;20T0005C3
10;16408;20T0005C3
11;16401;20T0005C3
12;16402;20T0005C3
13;16403;20T0005C3
14;16405;20T0005C3
1;16405;20T0006C3
2;16403;20T0006C3
3;16402;20T0006C3
4;16401;20T0006C3
5;16408;20T0006C3
6;16400;20T0006C3
7;16302;20T0006C3
8;16301;20T0006C3
9;15301;20T0006C3
10;15300;20T0006C3
11;15212;20T0006C3
12;15217;20T0006C3
13;15211;20T0006C3
14;15218;20T0006C3
