trip_id;arrival_time;departure_time;stop_id;stop_sequence
2063D22002C1;6:20:00;6:20:00;15211;1
2063D22002C1;6:22:00;6:22:00;15218;2
2063D22002C1;6:28:00;6:28:00;15209;3
2063D22002C1;6:30:00;6:30:00;15208;4
2063D22002C1;6:34:00;6:34:00;15207;5
2063D22002C1;6:37:00;6:37:00;15206;6
2063D22002C1;6:39:00;6:39:00;15205;7
2063D22002C1;6:42:00;6:42:00;15203;8
2063D22002C1;6:45:00;6:45:00;15202;9
2063D22002C1;6:48:00;6:48:00;15200;10
2063D22002C1;6:53:00;6:53:00;15123;11
2063D22002C1;6:58:00;6:58:00;15122;12
2063D22003C1;7:10:00;7:10:00;15122;1
2063D22003C1;7:13:00;7:13:00;15123;2
2063D22003C1;7:16:00;7:16:00;15200;3
2063D22003C1;7:18:00;7:18:00;15202;4
2063D22003C1;7:21:00;7:21:00;15203;5
2063D22003C1;7:25:00;7:25:00;15205;6
2063D22003C1;7:27:00;7:27:00;15206;7
2063D22003C1;7:30:00;7:30:00;15207;8
2063D22003C1;7:34:00;7:34:00;15208;9
2063D22003C1;7:36:00;7:36:00;15209;10
2063D22003C1;7:42:00;7:42:00;15218;11
2063D22003C1;7:44:00;7:44:00;15211;12
2063D22003C1;7:48:00;7:48:00;15217;13
2063D22003C1;7:51:00;7:51:00;15212;14
2063D22003C1;7:55:00;7:55:00;15300;15
2063D22003C1;7:58:00;7:58:00;15301;16
2063D22003C1;8:00:00;8:00:00;15305;17
2063D22003C1;8:03:00;8:03:00;15302;18
2063D22003C1;8:06:00;8:06:00;15303;19
2063D22003C1;8:10:00;8:10:00;15400;20
2063D22003C1;8:14:00;8:14:00;15401;21
2063D22003C1;8:18:00;8:18:00;15410;22
2063D22004C1;6:00:00;6:00:00;15410;1
2063D22004C1;6:03:00;6:03:00;15401;2
2063D22004C1;6:06:00;6:06:00;15400;3
2063D22004C1;6:09:00;6:09:00;15303;4
2063D22004C1;6:12:00;6:12:00;15302;5
2063D22004C1;6:18:00;6:18:00;15301;6
2063D22004C1;6:22:00;6:22:00;15300;7
2063D22004C1;6:26:00;6:26:00;15212;9
2063D22004C1;6:29:00;6:29:00;15217;10
2063D22004C1;6:32:00;6:32:00;15211;11
2063D22004C1;6:35:00;6:35:00;15218;12
2063D22004C1;6:41:00;6:41:00;15209;13
2063D22004C1;6:43:00;6:43:00;15208;14
2063D22004C1;6:47:00;6:47:00;15207;15
2063D22004C1;6:50:00;6:50:00;15206;16
2063D22004C1;6:52:00;6:52:00;15205;17
2063D22004C1;6:55:00;6:55:00;15203;18
2063D22004C1;6:58:00;6:58:00;15202;19
2063D22004C1;7:01:00;7:01:00;15200;20
2063D22004C1;7:06:00;7:06:00;15123;21
2063D22004C1;7:11:00;7:11:00;15122;22
2063D22004C1;7:15:00;7:15:00;15121;23
2063D22004C1;7:18:00;7:18:00;15120;24
2063D22004C1;7:21:00;7:21:00;15119;25
2063D22004C1;7:26:00;7:26:00;15118;26
2063D22007C1;7:48:00;7:48:00;15118;1
2063D22007C1;7:52:00;7:52:00;15119;2
2063D22007C1;7:56:00;7:56:00;15120;3
2063D22007C1;8:09:00;8:09:00;15121;4
2063D22007C1;8:13:00;8:13:00;15122;5
2063D22007C1;8:17:00;8:17:00;15123;6
2063D22007C1;8:20:00;8:20:00;15200;7
2063D22007C1;8:22:00;8:22:00;15202;8
2063D22007C1;8:25:00;8:25:00;15203;9
2063D22007C1;8:29:00;8:29:00;15205;10
2063D22007C1;8:31:00;8:31:00;15206;11
2063D22007C1;8:34:00;8:34:00;15207;12
2063D22007C1;8:38:00;8:38:00;15208;13
2063D22007C1;8:40:00;8:40:00;15209;14
2063D22007C1;8:43:00;8:43:00;15210;15
2063D22007C1;8:46:00;8:46:00;15218;16
2063D22007C1;8:48:00;8:48:00;15211;17
2063D22007C1;8:53:00;8:53:00;15217;18
2063D22007C1;8:56:00;8:56:00;15212;19
2063D22007C1;9:00:00;9:00:00;15300;20
2063D22007C1;9:03:00;9:03:00;15301;21
2063D22007C1;9:05:00;9:05:00;15305;22
2063D22007C1;9:08:00;9:08:00;15302;23
2063D22007C1;9:11:00;9:11:00;15303;24
2063D22007C1;9:15:00;9:15:00;15400;25
2063D22007C1;9:19:00;9:19:00;15401;26
2063D22007C1;9:23:00;9:23:00;15410;27
2063D22008C1;7:30:00;7:30:00;15410;1
2063D22008C1;7:33:00;7:33:00;15401;2
