trip_id;route_id;service_id
2064L12100C1;20T0001C1;2064L
2064L22000C1;20T0001C1;2064L
2064L22002C1;20T0001C1;2064L
2064L22004C1;20T0001C1;2064L
2064L22006C1;20T0001C1;2064L
2064L22008C1;20T0001C1;2064L
2064L22010C1;20T0001C1;2064L
2064L22012C1;20T0001C1;2064L
2064L22014C1;20T0001C1;2064L
2064L22016C1;20T0001C1;2064L
2064L22018C1;20T0001C1;2064L
2064L22020C1;20T0001C1;2064L
2064L22022C1;20T0001C1;2064L
2064L22024C1;20T0001C1;2064L
2064L22026C1;20T0001C1;2064L
2064L22028C1;20T0001C1;2064L
2064L22030C1;20T0001C1;2064L
2064L22032C1;20T0001C1;2064L
2064L22034C1;20T0001C1;2064L
2064L22036C1;20T0001C1;2064L
2064L22038C1;20T0001C1;2064L
2064L22040C1;20T0001C1;2064L
2064L22044C1;20T0001C1;2064L
2064L22048C1;20T0001C1;2064L
2064L22050C1;20T0001C1;2064L
2064L22100C1;20T0001C1;2064L
2064L22102C1;20T0001C1;2064L
2064L22104C1;20T0001C1;2064L
2064L22106C1;20T0001C1;2064L
2064L22108C1;20T0001C1;2064L
2064L22110C1;20T0001C1;2064L
2064L22112C1;20T0001C1;2064L
2064L22114C1;20T0001C1;2064L
2064L22116C1;20T0001C1;2064L
2064L22118C1;20T0001C1;2064L
2064L22120C1;20T0001C1;2064L
2064L22122C1;20T0001C1;2064L
2064L22124C1;20T0001C1;2064L
2064L22130C1;20T0001C1;2064L
2064L22132C1;20T0001C1;2064L
2064L22340C1;20T0001C1;2064L
2064L35042C1;20T0001C1;2064L
2064L35046C1;20T0001C1;2064L
2064L35052C1;20T0001C1;2064L
2071L12100C1;20T0001C1;2071L
2071L22000C1;20T0001C1;2071L
2071L22002C1;20T0001C1;2071L
2071L22004C1;20T0001C1;2071L
2071L22006C1;20T0001C1;2071L
2071L22008C1;20T0001C1;2071L
2071L22010C1;20T0001C1;2071L
2071L22012C1;20T0001C1;2071L
2071L22014C1;20T0001C1;2071L
2071L22016C1;20T0001C1;2071L
2071L22018C1;20T0001C1;2071L
2071L22020C1;20T0001C1;2071L
2071L22022C1;20T0001C1;2071L
2071L22024C1;20T0001C1;2071L
2071L22026C1;20T0001C1;2071L
2071L22028C1;20T0001C1;2071L
2071L22030C1;20T0001C1;2071L
2071L22032C1;20T0001C1;2071L
2071L22034C1;20T0001C1;2071L
2071L22036C1;20T0001C1;2071L
2071L22038C1;20T0001C1;2071L
2071L22040C1;20T0001C1;2071L
2071L22044C1;20T0001C1;2071L
2071L22048C1;20T0001C1;2071L
2071L22050C1;20T0001C1;2071L
2071L22100C1;20T0001C1;2071L
2071L22102C1;20T0001C1;2071L
2071L22104C1;20T0001C1;2071L
2071L22106C1;20T0001C1;2071L
2071L22108C1;20T0001C1;2071L
2071L22110C1;20T0001C1;2071L
2071L22112C1;20T0001C1;2071L
2071L22114C1;20T0001C1;2071L
2071L22116C1;20T0001C1;2071L
2071L22118C1;20T0001C1;2071L
2071L22120C1;20T0001C1;2071L
2071L22122C1;20T0001C1;2071L
2071L22124C1;20T0001C1;2071L
2071L22130C1;20T0001C1;2071L
2071L22132C1;20T0001C1;2071L
2071L22340C1;20T0001C1;2071L
2071L35042C1;20T0001C1;2071L
2071L35046C1;20T0001C1;2071L
2071L35052C1;20T0001C1;2071L
2078L12100C1;20T0001C1;2078L
2078L22000C1;20T0001C1;2078L
2078L22002C1;20T0001C1;2078L
2078L22004C1;20T0001C1;2078L
2078L22006C1;20T0001C1;2078L
2078L22008C1;20T0001C1;2078L
2078L22010C1;20T0001C1;2078L
2078L22012C1;20T0001C1;2078L
2078L22014C1;20T0001C1;2078L
2078L22016C1;20T0001C1;2078L
2078L22018C1;20T0001C1;2078L
2078L22020C1;20T0001C1;2078L
2078L22022C1;20T0001C1;2078L
2078L22024C1;20T0001C1;2078L
2078L22026C1;20T0001C1;2078L
2078L22028C1;20T0001C1;2078L
2078L22030C1;20T0001C1;2078L
2078L22032C1;20T0001C1;2078L
2078L22034C1;20T0001C1;2078L
2078L22036C1;20T0001C1;2078L
2078L22038C1;20T0001C1;2078L
2078L22040C1;20T0001C1;2078L
2078L22044C1;20T0001C1;2078L
2078L22048C1;20T0001C1;2078L
2078L22050C1;20T0001C1;2078L
2078L22100C1;20T0001C1;2078L
2078L22102C1;20T0001C1;2078L
2078L22104C1;20T0001C1;2078L
2078L22106C1;20T0001C1;2078L
2078L22108C1;20T0001C1;2078L
2078L22110C1;20T0001C1;2078L
2078L22112C1;20T0001C1;2078L
2078L22114C1;20T0001C1;2078L
2078L22116C1;20T0001C1;2078L
2078L22118C1;20T0001C1;2078L
2078L22120C1;20T0001C1;2078L
2078L22122C1;20T0001C1;2078L
2078L22124C1;20T0001C1;2078L
2078L22130C1;20T0001C1;2078L
2078L22132C1;20T0001C1;2078L
2078L22340C1;20T0001C1;2078L
2078L35042C1;20T0001C1;2078L
2078L35046C1;20T0001C1;2078L
2078L35052C1;20T0001C1;2078L
2085L12100C1;20T0001C1;2085L
2085L22000C1;20T0001C1;2085L
2085L22002C1;20T0001C1;2085L
2085L22004C1;20T0001C1;2085L
2085L22006C1;20T0001C1;2085L
2085L22008C1;20T0001C1;2085L
2085L22010C1;20T0001C1;2085L
2085L22012C1;20T0001C1;2085L
2085L22014C1;20T0001C1;2085L
2085L22016C1;20T0001C1;2085L
2085L22018C1;20T0001C1;2085L
2085L22020C1;20T0001C1;2085L
2085L22022C1;20T0001C1;2085L
2085L22024C1;20T0001C1;2085L
2085L22026C1;20T0001C1;2085L
2085L22028C1;20T0001C1;2085L
2085L22030C1;20T0001C1;2085L
2085L22032C1;20T0001C1;2085L
2085L22034C1;20T0001C1;2085L
2085L22036C1;20T0001C1;2085L
2085L22038C1;20T0001C1;2085L
2085L22040C1;20T0001C1;2085L
2085L22044C1;20T0001C1;2085L
2085L22048C1;20T0001C1;2085L
2085L22050C1;20T0001C1;2085L
2085L22100C1;20T0001C1;2085L
2085L22102C1;20T0001C1;2085L
2085L22104C1;20T0001C1;2085L
2085L22106C1;20T0001C1;2085L
2085L22108C1;20T0001C1;2085L
2085L22110C1;20T0001C1;2085L
2085L22112C1;20T0001C1;2085L
2085L22114C1;20T0001C1;2085L
2085L22116C1;20T0001C1;2085L
2085L22118C1;20T0001C1;2085L
2085L22120C1;20T0001C1;2085L
2085L22122C1;20T0001C1;2085L
2085L22124C1;20T0001C1;2085L
2085L22130C1;20T0001C1;2085L
2085L22132C1;20T0001C1;2085L
2085L22340C1;20T0001C1;2085L
2085L35042C1;20T0001C1;2085L
2085L35046C1;20T0001C1;2085L
2085L35052C1;20T0001C1;2085L
2092L12100C1;20T0001C1;2092L
2092L22000C1;20T0001C1;2092L
2092L22002C1;20T0001C1;2092L
2092L22004C1;20T0001C1;2092L
2092L22006C1;20T0001C1;2092L
2092L22008C1;20T0001C1;2092L
2092L22010C1;20T0001C1;2092L
2092L22012C1;20T0001C1;2092L
2092L22014C1;20T0001C1;2092L
2092L22016C1;20T0001C1;2092L
2092L22018C1;20T0001C1;2092L
2092L22020C1;20T0001C1;2092L
2092L22022C1;20T0001C1;2092L
2092L22024C1;20T0001C1;2092L
2092L22026C1;20T0001C1;2092L
2092L22028C1;20T0001C1;2092L
2092L22030C1;20T0001C1;2092L
2092L22032C1;20T0001C1;2092L
2092L22034C1;20T0001C1;2092L
2092L22036C1;20T0001C1;2092L
2092L22038C1;20T0001C1;2092L
2092L22040C1;20T0001C1;2092L
2092L22044C1;20T0001C1;2092L
2092L22048C1;20T0001C1;2092L
2092L22050C1;20T0001C1;2092L
2092L22100C1;20T0001C1;2092L
2092L22102C1;20T0001C1;2092L
2092L22104C1;20T0001C1;2092L
2092L22106C1;20T0001C1;2092L
2092L22108C1;20T0001C1;2092L
2092L22110C1;20T0001C1;2092L
2092L22112C1;20T0001C1;2092L
2092L22114C1;20T0001C1;2092L
2092L22116C1;20T0001C1;2092L
2092L22118C1;20T0001C1;2092L
2092L22120C1;20T0001C1;2092L
2092L22122C1;20T0001C1;2092L
2092L22124C1;20T0001C1;2092L
2092L22130C1;20T0001C1;2092L
2092L22132C1;20T0001C1;2092L
2092L22340C1;20T0001C1;2092L
2092L35042C1;20T0001C1;2092L
2092L35046C1;20T0001C1;2092L
2092L35052C1;20T0001C1;2092L
2064L22001C1;20T0002C1;2064L
2064L22003C1;20T0002C1;2064L
2064L22005C1;20T0002C1;2064L
2064L22007C1;20T0002C1;2064L
2064L22009C1;20T0002C1;2064L
2064L22011C1;20T0002C1;2064L
2064L22013C1;20T0002C1;2064L
2064L22015C1;20T0002C1;2064L
2064L22017C1;20T0002C1;2064L
2064L22019C1;20T0002C1;2064L
2064L22021C1;20T0002C1;2064L
2064L22023C1;20T0002C1;2064L
2064L22025C1;20T0002C1;2064L
2064L22027C1;20T0002C1;2064L
2064L22029C1;20T0002C1;2064L
2064L22031C1;20T0002C1;2064L
2064L22037C1;20T0002C1;2064L
2064L22039C1;20T0002C1;2064L
2064L22041C1;20T0002C1;2064L
2064L22043C1;20T0002C1;2064L
2064L22045C1;20T0002C1;2064L
2064L22047C1;20T0002C1;2064L
2064L22049C1;20T0002C1;2064L
2064L22051C1;20T0002C1;2064L
2064L22101C1;20T0002C1;2064L
2064L22103C1;20T0002C1;2064L
2064L22105C1;20T0002C1;2064L
2064L22107C1;20T0002C1;2064L
2064L22109C1;20T0002C1;2064L
2064L22111C1;20T0002C1;2064L
2064L22113C1;20T0002C1;2064L
2064L22115C1;20T0002C1;2064L
2064L22117C1;20T0002C1;2064L
2064L22119C1;20T0002C1;2064L
2064L22123C1;20T0002C1;2064L
2064L22125C1;20T0002C1;2064L
2064L22127C1;20T0002C1;2064L
2064L22131C1;20T0002C1;2064L
2064L22135C1;20T0002C1;2064L
2064L22137C1;20T0002C1;2064L
2064L22139C1;20T0002C1;2064L
2064L33101C1;20T0002C1;2064L
2064L35033C1;20T0002C1;2064L
2064L35133C1;20T0002C1;2064L
2065M22001C1;20T0002C1;2065M
2065M22003C1;20T0002C1;2065M
2065M22005C1;20T0002C1;2065M
2065M22007C1;20T0002C1;2065M
2065M22009C1;20T0002C1;2065M
2065M22011C1;20T0002C1;2065M
2065M22013C1;20T0002C1;2065M
2065M22015C1;20T0002C1;2065M
2065M22017C1;20T0002C1;2065M
2065M22019C1;20T0002C1;2065M
2065M22021C1;20T0002C1;2065M
2065M22023C1;20T0002C1;2065M
2065M22025C1;20T0002C1;2065M
2065M22027C1;20T0002C1;2065M
2065M22029C1;20T0002C1;2065M
2065M22031C1;20T0002C1;2065M
2065M22037C1;20T0002C1;2065M
2065M22039C1;20T0002C1;2065M
2065M22041C1;20T0002C1;2065M
2065M22043C1;20T0002C1;2065M
2065M22045C1;20T0002C1;2065M
2065M22047C1;20T0002C1;2065M
2065M22049C1;20T0002C1;2065M
2065M22051C1;20T0002C1;2065M
2065M22101C1;20T0002C1;2065M
2065M22103C1;20T0002C1;2065M
2065M22105C1;20T0002C1;2065M
2065M22107C1;20T0002C1;2065M
2065M22109C1;20T0002C1;2065M
2065M22111C1;20T0002C1;2065M
2065M22113C1;20T0002C1;2065M
2065M22115C1;20T0002C1;2065M
2065M22117C1;20T0002C1;2065M
2065M22119C1;20T0002C1;2065M
2065M22123C1;20T0002C1;2065M
2065M22125C1;20T0002C1;2065M
2065M22127C1;20T0002C1;2065M
2065M22131C1;20T0002C1;2065M
2065M22135C1;20T0002C1;2065M
2065M22137C1;20T0002C1;2065M
2065M22139C1;20T0002C1;2065M
2065M33101C1;20T0002C1;2065M
2065M35033C1;20T0002C1;2065M
2065M35133C1;20T0002C1;2065M
2066X22001C1;20T0002C1;2066X
2066X22003C1;20T0002C1;2066X
2066X22005C1;20T0002C1;2066X
2066X22007C1;20T0002C1;2066X
2066X22009C1;20T0002C1;2066X
2066X22011C1;20T0002C1;2066X
2066X22013C1;20T0002C1;2066X
2066X22015C1;20T0002C1;2066X
2066X22017C1;20T0002C1;2066X
2066X22019C1;20T0002C1;2066X
2066X22021C1;20T0002C1;2066X
2066X22023C1;20T0002C1;2066X
2066X22025C1;20T0002C1;2066X
2066X22027C1;20T0002C1;2066X
2066X22029C1;20T0002C1;2066X
2066X22031C1;20T0002C1;2066X
2066X22037C1;20T0002C1;2066X
2066X22039C1;20T0002C1;2066X
2066X22041C1;20T0002C1;2066X
2066X22043C1;20T0002C1;2066X
2066X22045C1;20T0002C1;2066X
2066X22047C1;20T0002C1;2066X
2066X22049C1;20T0002C1;2066X
2066X22051C1;20T0002C1;2066X
2066X22101C1;20T0002C1;2066X
2066X22103C1;20T0002C1;2066X
2066X22105C1;20T0002C1;2066X
2066X22107C1;20T0002C1;2066X
2066X22109C1;20T0002C1;2066X
2066X22111C1;20T0002C1;2066X
2066X22113C1;20T0002C1;2066X
2066X22115C1;20T0002C1;2066X
2066X22117C1;20T0002C1;2066X
2066X22119C1;20T0002C1;2066X
2066X22123C1;20T0002C1;2066X
2066X22125C1;20T0002C1;2066X
2066X22127C1;20T0002C1;2066X
2066X22131C1;20T0002C1;2066X
2066X22135C1;20T0002C1;2066X
2066X22137C1;20T0002C1;2066X
2066X22139C1;20T0002C1;2066X
2066X33101C1;20T0002C1;2066X
2066X35033C1;20T0002C1;2066X
2066X35133C1;20T0002C1;2066X
2067J22001C1;20T0002C1;2067J
2067J22003C1;20T0002C1;2067J
2067J22005C1;20T0002C1;2067J
2067J22007C1;20T0002C1;2067J
2067J22009C1;20T0002C1;2067J
2067J22011C1;20T0002C1;2067J
2067J22013C1;20T0002C1;2067J
2067J22015C1;20T0002C1;2067J
2067J22017C1;20T0002C1;2067J
2067J22019C1;20T0002C1;2067J
2067J22021C1;20T0002C1;2067J
2067J22023C1;20T0002C1;2067J
2067J22025C1;20T0002C1;2067J
2067J22027C1;20T0002C1;2067J
2067J22029C1;20T0002C1;2067J
2067J22031C1;20T0002C1;2067J
2067J22037C1;20T0002C1;2067J
2067J22039C1;20T0002C1;2067J
2067J22041C1;20T0002C1;2067J
2067J22043C1;20T0002C1;2067J
2067J22045C1;20T0002C1;2067J
2067J22047C1;20T0002C1;2067J
2067J22049C1;20T0002C1;2067J
2067J22051C1;20T0002C1;2067J
2067J22101C1;20T0002C1;2067J
2067J22103C1;20T0002C1;2067J
2067J22105C1;20T0002C1;2067J
2067J22107C1;20T0002C1;2067J
2067J22109C1;20T0002C1;2067J
2067J22111C1;20T0002C1;2067J
2067J22113C1;20T0002C1;2067J
2067J22115C1;20T0002C1;2067J
2067J22117C1;20T0002C1;2067J
2067J22119C1;20T0002C1;2067J
2067J22123C1;20T0002C1;2067J
2067J22125C1;20T0002C1;2067J
2067J22127C1;20T0002C1;2067J
2067J22131C1;20T0002C1;2067J
2067J22135C1;20T0002C1;2067J
2067J22137C1;20T0002C1;2067J
2067J22139C1;20T0002C1;2067J
2067J33101C1;20T0002C1;2067J
2067J35033C1;20T0002C1;2067J
2067J35133C1;20T0002C1;2067J
2068V22001C1;20T0002C1;2068V
2068V22003C1;20T0002C1;2068V
2068V22005C1;20T0002C1;2068V
2068V22007C1;20T0002C1;2068V
2068V22009C1;20T0002C1;2068V
2068V22011C1;20T0002C1;2068V
2068V22013C1;20T0002C1;2068V
2068V22015C1;20T0002C1;2068V
2068V22017C1;20T0002C1;2068V
2068V22019C1;20T0002C1;2068V
2068V22021C1;20T0002C1;2068V
2068V22023C1;20T0002C1;2068V
2068V22025C1;20T0002C1;2068V
2068V22027C1;20T0002C1;2068V
2068V22029C1;20T0002C1;2068V
2068V22031C1;20T0002C1;2068V
2068V22037C1;20T0002C1;2068V
2068V22039C1;20T0002C1;2068V
2068V22041C1;20T0002C1;2068V
2068V22043C1;20T0002C1;2068V
2068V22045C1;20T0002C1;2068V
2068V22047C1;20T0002C1;2068V
2068V22049C1;20T0002C1;2068V
2068V22051C1;20T0002C1;2068V
2068V22101C1;20T0002C1;2068V
2068V22103C1;20T0002C1;2068V
2068V22105C1;20T0002C1;2068V
2068V22107C1;20T0002C1;2068V
2068V22109C1;20T0002C1;2068V
2068V22111C1;20T0002C1;2068V
2068V22113C1;20T0002C1;2068V
2068V22115C1;20T0002C1;2068V
2068V22117C1;20T0002C1;2068V
2068V22119C1;20T0002C1;2068V
2068V22123C1;20T0002C1;2068V
2068V22125C1;20T0002C1;2068V
2068V22127C1;20T0002C1;2068V
2068V22131C1;20T0002C1;2068V
2068V22135C1;20T0002C1;2068V
2068V22137C1;20T0002C1;2068V
2068V22139C1;20T0002C1;2068V
2068V33101C1;20T0002C1;2068V
2068V35033C1;20T0002C1;2068V
2068V35133C1;20T0002C1;2068V
2069S22003C1;20T0002C1;2069S
2069S22007C1;20T0002C1;2069S
